Тульская область;0 ;0 ;0 ;5 ;3 ;6 ;1 ;0 ;5 ;1 ;4 ;0 ;0 ;3 ;0 ;2 ;6 ;4 ;3 ;4 ;9 ;9 ;2 ;5 ;8 ;3 ;1 ;7 ;0 ;16 ;6 ;1 ;7 ;4 ;24 ;4 ;1 ;4 
Ярославская область;0 ;1 ;2 ;6 ;3 ;0 ;6 ;1 ;1 ;0 ;4 ;4 ;5 ;7 ;4 ;6 ;4 ;4 ;2 ;0 ;3 ;3 ;9 ;5 ;8 ;4 ;2 ;0 ;3 ;3 ;5 ;4 ;5 ;1 ;4 ;9 ;1 ;8 
г. Москва;2 ;7 ;18 ;7 ;4 ;5 ;12 ;16 ;13 ;19 ;13 ;33 ;5 ;20 ;11 ;32 ;18 ;20 ;17 ;3 ;21 ;31 ;13 ;28 ;17 ;23 ;11 ;18 ;24 ;29 ;23 ;20 ;11 ;25 ;19 ;21 ;30 ;12 
Северо-Западный ФО;4 ;18 ;20 ;36 ;27 ;23 ;24 ;28 ;54 ;42 ;41 ;67 ;17 ;22 ;37 ;77 ;42 ;95 ;82 ;32 ;61 ;28 ;49 ;35 ;26 ;32 ;16 ;26 ;28 ;37 ;24 ;56 ;37 ;50 ;39 ;29 ;12 ;33 
Республика Карелия;0 ;0 ;1 ;2 ;0 ;2 ;0 ;1 ;2 ;0 ;2 ;0 ;0 ;1 ;3 ;1 ;2 ;2 ;3 ;0 ;6 ;0 ;1 ;1 ;2 ;0 ;0 ;0 ;3 ;1 ;1 ;0 ;3 ;1 ;0 ;3 ;0 ;0 
Республика Коми;0 ;0 ;2 ;1 ;0 ;0 ;2 ;0 ;0 ;1 ;1 ;1 ;0 ;1 ;2 ;3 ;0 ;3 ;2 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;0 ;0 ;1 ;2 ;0 ;2 ;0 
Ненецкий АО;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
Архангельская область;0 ;1 ;1 ;2 ;1 ;1 ;4 ;2 ;2 ;2 ;3 ;2 ;0 ;3 ;2 ;4 ;1 ;3 ;0 ;3 ;3 ;2 ;5 ;2 ;1 ;5 ;0 ;5 ;4 ;2 ;0 ;4 ;2 ;9 ;3 ;1 ;1 ;2 
Вологодская область;0 ;6 ;1 ;0 ;2 ;13 ;3 ;5 ;3 ;1 ;6 ;15 ;1 ;0 ;1 ;7 ;0 ;5 ;3 ;1 ;8 ;1 ;1 ;6 ;3 ;7 ;2 ;4 ;5 ;1 ;1 ;14 ;9 ;2 ;1 ;3 ;2 ;8 
Калининградская область;1 ;4 ;1 ;14 ;14 ;2 ;4 ;12 ;13 ;5 ;7 ;8 ;5 ;9 ;13 ;27 ;7 ;12 ;8 ;12 ;11 ;7 ;15 ;7 ;11 ;12 ;5 ;7 ;2 ;10 ;3 ;6 ;6 ;5 ;4 ;7 ;1 ;2 
